ax,ay,az,gx,gy,gz
0.561035,-0.67041,0.345459,11.413573,67.611694,28.396605
0.569336,-0.681396,0.343994,10.162353,63.957211,28.572081
0.582764,-0.695557,0.333252,9.292603,61.973568,28.228758
0.57666,-0.700195,0.323975,9.239197,62.461849,27.687071
0.566895,-0.697754,0.313965,9.712219,64.13269,27.465818
0.553467,-0.696045,0.315674,10.513305,65.818787,27.32086
0.544678,-0.692383,0.334473,11.253356,66.360474,26.56555
0.533936,-0.689453,0.371826,10.475158,64.987183,25.344847
0.521484,-0.689941,0.410645,8.773804,62.278744,23.513792
0.504395,-0.691406,0.439209,6.210327,58.319088,21.286009
0.505371,-0.687012,0.448242,2.357483,53.596493,19.477844
0.493896,-0.676758,0.440918,-1.777649,48.362728,18.65387
0.490479,-0.666748,0.419434,-5.638122,43.04504,18.173218
0.500732,-0.672119,0.38623,-8.270264,38.528442,18.745422
0.498291,-0.687744,0.344971,-8.491516,35.827637,19.721985
0.493164,-0.706787,0.315674,-7.438659,34.660339,19.271851
0.50293,-0.723389,0.30249,-6.217956,33.851624,18.508911
0.513916,-0.729004,0.302002,-4.920959,33.309937,18.119812
0.519287,-0.733398,0.303223,-3.700256,33.050537,18.447876
0.489502,-0.72998,0.313232,-2.502441,32.051086,18.936157
0.462402,-0.723633,0.337402,-1.930237,28.823851,18.699646
0.438721,-0.721436,0.350586,-2.166748,23.391722,18.379211
0.420166,-0.720459,0.351807,-2.792358,16.647339,18.280029
0.405762,-0.71582,0.344238,-3.417969,10.208129,18.028259
0.386963,-0.711914,0.334473,-3.936767,5.592346,16.51001
0.394775,-0.718262,0.329102,-4.455566,1.403808,13.427733
0.408936,-0.71875,0.324463,-4.196167,-0.389099,10.32257
0.41748,-0.717773,0.336426,-4.707336,-1.602173,7.270813
0.411865,-0.715088,0.341309,-5.859375,-3.463745,4.447937
0.42749,-0.707764,0.345215,-6.67572,-5.302429,1.89209
0.465576,-0.703613,0.347656,-7.102966,-5.821228,-0.488281
0.462402,-0.696533,0.348145,-6.782531,-5.744934,-1.76239
0.459229,-0.694092,0.339844,-6.156921,-7.164001,-3.27301
0.456787,-0.684326,0.338135,-5.317688,-8.972168,-5.813598
0.466797,-0.678467,0.34082,-4.470825,-10.2005,-9.162903
0.503418,-0.67334,0.346191,-3.265381,-10.787963,-12.077331
0.527832,-0.667236,0.375,-1.541138,-9.437561,-13.130187
0.531494,-0.6604,0.404297,-0.015259,-7.026672,-13.282775
0.531006,-0.654785,0.428955,0.930786,-4.936218,-13.229369
0.537109,-0.652588,0.436768,1.159668,-3.593445,-12.893676
0.537109,-0.657715,0.431885,1.754761,-3.379822,-11.871337
0.532227,-0.655518,0.414795,2.799988,-4.112244,-11.062621
0.524902,-0.663818,0.39624,4.257202,-4.310608,-11.352538
0.528564,-0.670654,0.389893,5.142211,-2.616882,-11.398314
0.520264,-0.664307,0.395996,5.233764,-1.983642,-10.513305
0.518311,-0.66748,0.401123,5.867004,-1.602173,-10.116576
0.504639,-0.679932,0.416748,5.897521,-1.075745,-10.009766
0.478516,-0.69873,0.42627,3.738403,-4.470825,-8.621216
0.489746,-0.707764,0.418213,0.87738,-9.757996,-8.171082
0.512695,-0.708984,0.404297,-1.350403,-15.022277,-7.987976
0.524658,-0.70752,0.391602,-2.571106,-18.516541,-7.583618
0.523438,-0.706543,0.377686,-3.723144,-20.187376,-7.255554
0.533203,-0.70459,0.36377,-4.562378,-20.362852,-7.156372
0.541748,-0.703857,0.352539,-4.989624,-19.340515,-6.690979
0.533691,-0.703613,0.347168,-4.66156,-17.417908,-6.126403
0.534668,-0.697998,0.346191,-4.562378,-15.007018,-6.126403
0.538574,-0.69873,0.337158,-4.432678,-12.130736,-6.362915
0.535889,-0.699219,0.334961,-3.250122,-8.720398,-6.767272
0.549805,-0.700684,0.333496,-1.846313,-4.150391,-7.232666
0.557617,-0.702637,0.328857,-0.114441,1.991272,-7.17926
0.547119,-0.701172,0.318359,2.807617,8.857727,-7.469177
0.533447,-0.691406,0.314209,5.989074,15.182494,-8.583069
0.524902,-0.687988,0.321777,8.628845,21.339415,-10.910033
0.526611,-0.686523,0.336426,11.177062,27.015684,-13.21411
0.545166,-0.679688,0.358154,13.046264,31.494139,-15.098571
0.563477,-0.678955,0.373291,14.411925,36.117554,-15.838622
0.547607,-0.66748,0.393066,15.60974,38.711548,-15.525817
0.540283,-0.666748,0.410156,15.61737,38.009644,-14.312743
0.532471,-0.670898,0.414063,15.815734,36.5448,-13.008117
0.522949,-0.68042,0.423096,16.273499,35.40802,-12.031554
0.513428,-0.678223,0.434082,16.433716,33.638,-11.657714
0.50293,-0.676025,0.440674,15.670775,30.868528,-10.864257
0.490479,-0.668457,0.446045,14.823913,27.091978,-10.391234
0.489014,-0.669678,0.459229,13.47351,21.858213,-9.864807
0.505859,-0.674805,0.467285,12.413024,18.379211,-9.307861
0.504395,-0.674316,0.476807,11.222838,15.022277,-9.056091
0.510254,-0.680664,0.486084,9.895325,11.970519,-8.750916
0.508057,-0.673828,0.489746,8.361816,8.811951,-8.277893
0.522461,-0.669189,0.492188,5.874633,3.227234,-7.400512
0.533691,-0.666016,0.482422,3.562927,-1.869202,-5.737304
0.523682,-0.663574,0.46875,1.678467,-5.41687,-3.860473
0.510254,-0.663086,0.450439,0.488281,-8.19397,-2.746582
0.50293,-0.664795,0.442383,-0.37384,-11.344909,-1.838684
0.50415,-0.66626,0.436523,-0.938415,-14.442443,-1.13678
0.51123,-0.663574,0.436035,-1.51062,-16.921997,-1.12915
0.515625,-0.663574,0.447021,-1.968384,-18.65387,-1.083374
0.518311,-0.6604,0.460449,-2.380371,-20.195005,-1.419067
0.510498,-0.647217,0.47583,-2.906799,-22.140501,-2.13623
0.501953,-0.638184,0.489258,-3.799438,-24.238585,-3.227234
0.492188,-0.634521,0.493652,-5.241394,-26.802061,-4.608154
0.467773,-0.637451,0.485596,-6.591796,-30.662535,-6.179809
0.464111,-0.641846,0.471436,-6.851196,-35.125732,-8.323669
0.478271,-0.648682,0.459473,-6.881713,-39.093018,-11.314391
0.483887,-0.651611,0.450684,-6.637573,-42.228695,-14.48059
0.48291,-0.640869,0.46875,-6.782531,-45.333858,-18.203735
0.498291,-0.628174,0.508057,-9.468079,-51.002499,-22.239683
0.512451,-0.626953,0.52124,-13.526916,-62.019344,-25.29907
0.510742,-0.620605,0.513428,-17.875671,-78.704834,-26.145933
0.509277,-0.616943,0.496826,-22.819517,-98.144524,-26.008604
0.513184,-0.628418,0.463379,-28.388975,-117.424004,-26.68762
0.509033,-0.655029,0.37793,-32.669067,-134.521484,-28.289793
0.557373,-0.67334,0.313232,-33.470154,-144.27948,-30.830381
0.633545,-0.675293,0.301025,-33.714294,-148.3078,-34.957886
0.699951,-0.676758,0.25293,-34.370422,-150.848389,-39.085388
0.797363,-0.658936,0.202393,-33.584595,-150.337219,-40.382381
0.861084,-0.655029,0.165283,-31.234739,-142.684937,-39.161682
0.857666,-0.666992,0.142578,-27.084349,-129.79126,-37.353516
0.81543,-0.680176,0.124268,-20.805357,-117.21801,-34.492493
0.779053,-0.691406,0.120117,-13.603209,-106.63604,-31.249998
0.781982,-0.690918,0.115723,-7.446289,-96.878044,-28.816221
0.846924,-0.694092,0.096191,-2.944946,-85.571281,-25.917051
0.872803,-0.693848,0.068604,2.471924,-68.077087,-21.301268
0.869141,-0.692871,0.058594,8.224487,-47.828671,-18.943787
0.885742,-0.687012,0.059326,11.108397,-23.681639,-14.846801
0.803711,-0.641602,0.041748,10.368346,2.182007,-7.514953
0.850098,-0.695068,0.0271,7.362365,22.15576,-0.114441
0.848633,-0.692383,0.02124,7.4234,44.914242,14.045714
0.841797,-0.702148,0.040771,5.897521,65.765381,25.939939
0.808838,-0.685791,0.057617,4.104614,83.801262,39.466858
0.753906,-0.672607,0.075439,6.683349,97.602837,43.30444
0.669189,-0.641113,0.108154,8.277893,106.697075,49.957272
0.574951,-0.62793,0.11792,9.58252,103.157036,51.467892
0.548096,-0.621094,0.132324,10.45227,90.286247,52.558895
0.494141,-0.539551,0.14624,13.153075,72.044373,45.860287
0.556885,-0.563477,0.14917,9.757996,49.301144,33.348083
0.619873,-0.613037,0.13916,8.003235,32.028198,33.836365
0.601807,-0.63208,0.128418,9.300232,22.834776,36.651611
0.585938,-0.638184,0.120117,10.597228,17.829895,35.591125
0.575439,-0.639648,0.109863,11.169433,13.755797,33.683777
0.55542,-0.650635,0.096191,11.466979,9.292603,32.37915
0.514404,-0.658691,0.090088,11.772155,3.479004,31.517027
0.493652,-0.654053,0.102295,11.528014,-4.653931,29.296873
0.499756,-0.652588,0.116455,10.45227,-13.442992,26.863096
0.514648,-0.656738,0.121094,9.651184,-19.454956,25.596617
0.512207,-0.655273,0.126465,9.429932,-22.056578,24.696348
0.501953,-0.652588,0.125488,9.292603,-22.78137,23.689268
0.502441,-0.664551,0.126465,8.94928,-23.941038,21.995543
0.503174,-0.68457,0.141846,7.949829,-26.046751,20.233152
0.483887,-0.707764,0.153076,6.362915,-29.167173,19.40918
0.467041,-0.719238,0.157715,4.600525,-33.279419,18.074036
0.463379,-0.715088,0.160645,3.326416,-38.383484,16.563416
0.461182,-0.709717,0.159424,2.799988,-43.357845,15.426635
0.455322,-0.720947,0.1604,3.494262,-47.355648,13.893126
0.453125,-0.735596,0.16748,4.676819,-50.514217,12.08496
0.460205,-0.73877,0.185791,6.210327,-52.612301,10.31494
0.490723,-0.725342,0.204346,8.102417,-53.550716,8.277893
0.531006,-0.704102,0.224121,9.941101,-52.726742,6.17218
0.564209,-0.697021,0.237305,11.993407,-49.781796,4.28772
0.59668,-0.698242,0.234863,14.328002,-45.867916,2.616882
0.629883,-0.701416,0.216309,17.051697,-42.388912,1.281738
0.63208,-0.700195,0.195068,20.431517,-39.81781,0.900268
0.628174,-0.69751,0.167969,24.215696,-39.253235,-0.106812
0.623779,-0.688721,0.155518,27.755735,-39.993286,-2.27356
0.628174,-0.665527,0.178955,30.998228,-40.481564,-4.837036
0.648682,-0.631348,0.229248,33.248901,-39.421082,-7.461547
0.692627,-0.610352,0.281494,32.989502,-36.109924,-9.162903
0.732422,-0.607178,0.315186,31.22711,-29.96826,-8.918762
0.757813,-0.596436,0.334229,29.296873,-21.430967,-7.156372
0.747314,-0.581543,0.337646,27.328489,-12.855529,-4.928589
0.705811,-0.567871,0.334473,25.367735,-5.462646,-3.234863
0.655273,-0.558838,0.342529,23.28491,-1.113892,-2.960205
0.624756,-0.549805,0.363281,20.370481,-0.228882,-3.738403
0.62085,-0.550781,0.374023,16.716003,-2.250671,-5.172729
0.630859,-0.552734,0.380615,13.710021,-4.02832,-6.652832
0.658203,-0.55835,0.409668,11.466979,-3.875732,-7.93457
0.668945,-0.567627,0.436035,8.872986,-2.01416,-8.613586
