ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
0.422119,2.605469,0.130127,-249.992355,32.470703,-249.992355,-1.268311,2.21875,0.200439,-249.992355,-4.150391,249.992355
0.287842,2.789307,0.087646,-249.992355,40.435787,-249.992355,-0.862305,0.651367,-0.192383,249.992355,-94.490044,-192.413315
1.199951,4.319336,-3.338867,-249.992355,-135.536194,97.518913,-1.056641,2.154297,0.154541,249.992355,1.441955,-249.992355
0.583252,3.390869,-1.341797,-249.992355,-54.977413,165.687546,-1.1521,1.94165,-0.04126,249.992355,-31.524656,-249.992355
0.359131,2.708252,-0.431641,-249.992355,-69.717407,167.922958,-1.085693,1.584961,-0.108887,249.992355,-59.463497,-249.969467
0.246094,1.963623,0.346191,-249.992355,-128.349304,114.356987,-0.925781,1.249268,-0.000977,249.671921,-78.468323,-249.732956
0.250488,1.453857,0.411377,-249.992355,-173.850998,57.563778,-0.797607,0.981445,0.096191,249.694809,-89.637749,-249.992355
0.209961,1.239014,0.171387,-249.992355,-186.035141,11.871337,-0.75415,0.767334,0.146729,249.992355,-91.804497,-249.946579
0.098877,1.197998,0.079834,-249.992355,-182.022079,-12.001037,-0.905762,2.163818,0.365723,249.992355,28.350828,-249.992355
0.052002,1.22583,0.080566,-249.992355,-180.061325,-28.778074,-0.744873,0.635254,0.119873,249.992355,-89.942924,-232.482895
0.073975,1.275879,0.059814,-249.80925,-180.198654,-50.842281,-0.793701,0.607666,-0.012207,249.992355,-89.668266,-212.814316
0.125,1.27002,0.114258,-249.992355,-181.823715,-72.982788,-0.877441,0.752686,-0.334961,249.954208,-104.667656,-170.249924
1.020264,6.593262,-6.494873,-249.992355,-249.992355,35.751343,-1.02417,1.279541,-0.695801,249.992355,-240.028366,-66.986084
0.139404,1.25708,0.177734,-239.425644,-201.614365,-131.576538,-0.896973,1.001709,-0.428467,249.992355,-130.256653,-127.105705
0.172607,1.310547,0.279297,-221.96196,-213.500961,-159.133911,-0.916504,1.103271,-0.510498,247.573837,-152.313232,-107.528679
0.296631,1.335938,0.327881,-213.157639,-221.611008,-194.084152,-0.95874,1.185547,-0.642822,248.863205,-193.061813,-89.767448
0.435303,1.379395,0.386475,-209.342941,-218.376144,-231.246933,-1.0,1.442139,-0.616455,249.992355,-249.992355,-42.808529
0.52417,1.495361,0.32666,-209.701523,-198.928818,-249.42778,-0.889893,1.652344,-0.5,249.992355,-249.93895,-24.887083
