ax,ay,az,gx,gy,gz,acc_mag
-0.618164,0.506836,0.221436,-14.953612,-22.964476,151.260376,0.8294837936258912
-0.580322,0.552979,0.320557,-1.296997,-17.196655,141.853333,0.8633169686586729
-0.548096,0.587646,0.410645,13.900756,-18.104553,131.668091,0.9024224967037335
-0.550293,0.624023,0.509277,28.213499,-32.424927,122.558586,0.975494824746395
-0.582764,0.669922,0.587158,41.603085,-56.190487,116.775505,1.0645017063133342
-0.610352,0.698486,0.580811,55.183407,-81.146233,111.228935,1.0944193318015722
-0.628662,0.692139,0.557617,69.129944,-98.82354,105.12542,1.0886730566400546
-0.639648,0.676514,0.603027,82.733147,-112.365715,99.266045,1.1092620604839056
-0.645264,0.692383,0.702637,97.297661,-126.609795,95.100395,1.178752986063662
-0.669189,0.736084,0.84082,114.349358,-142.776489,91.484062,1.3025405349458419
-0.720703,0.766602,1.013672,132.965088,-161.331161,87.944023,1.4610346895939876
-0.753174,0.789307,1.097656,154.495239,-179.840073,83.70208,1.547619238979989
-0.739746,0.783691,1.086426,180.465683,-199.966415,77.400208,1.530267029466753
-0.746582,0.739014,1.017822,208.930954,-226.905807,72.891235,1.4626988748898386
-0.808838,0.650635,0.875732,238.273605,-249.992355,71.098328,1.3581057945878148
-0.950439,0.571289,0.669922,249.992355,-249.992355,68.93158,1.2955697203647514
-1.091797,0.464844,0.48584,249.992355,-249.572739,67.550659,1.2822406713035583
-1.174805,0.346436,0.367188,249.710068,-245.239243,68.717957,1.2786757671376274
-1.228271,0.223145,0.233154,249.992355,-226.066574,70.037842,1.2699622546288531
-1.117188,0.029785,0.00708,249.992355,-211.761459,73.799133,1.1176073997468878
-3.098389,-4.72876,-6.403076,178.451523,-233.909592,69.145203,8.541695838338955
-1.37207,-4.601318,-1.624756,-108.64257,-109.008781,14.869689,5.068977755086325
-0.108887,0.023682,2.259277,-165.733322,-82.977287,60.707088,2.262023381537423
-1.728271,2.477051,1.226563,-81.520073,-103.424065,107.406609,3.2599323764475545
-0.583252,3.293945,-0.036377,-88.081352,12.451171,61.271664,3.34538186828619
0.028809,1.505127,-0.614746,71.357727,92.712395,9.811401,1.626084219567363
-0.0271,-0.64502,-0.747559,160.804733,57.044979,-36.407471,0.9877396766765016
-0.114502,-0.916504,-1.024658,77.789307,-29.571531,-20.912169,1.3794978459511997
-0.633057,-0.159668,-1.552979,16.113281,-95.367424,-38.261414,1.6846361060816666
-1.198486,0.470703,-1.446533,14.617919,-47.775265,-107.13195,1.9365917810664177
-0.915283,0.734375,-1.125977,21.575926,78.269958,-127.731316,1.6263068023109908
-0.495605,0.777344,-0.858887,17.51709,143.371582,-89.881889,1.259990035329645
-0.43335,0.711914,-0.806885,14.587401,115.180962,-78.826904,1.1600332620752736
-0.54834,0.595703,-0.910889,8.18634,55.763241,-94.497673,1.2187114466230304
-0.840088,0.592041,-0.959473,-9.208679,18.295288,-99.670403,1.4060045629918845
-1.091553,0.648682,-0.874512,-22.247313,34.698486,-96.961967,1.5417676631311865
-1.038574,0.644287,-0.663086,-23.757933,79.89502,-91.629021,1.3904764418144595
-0.989258,0.606445,-0.415283,-27.076719,94.978325,-82.756035,1.2324231816539317
-1.150146,0.613525,-0.296875,-36.2854,71.418762,-69.046021,1.336930631172014
-1.425781,0.606689,-0.404053,-44.342037,48.812862,-50.704952,1.6013062884691984
-1.584473,0.583252,-0.576904,-55.755611,64.758301,-36.659241,1.784252170644329
-1.498535,0.522705,-0.830566,-72.647095,108.154289,-29.777525,1.7912753958021084
