t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:01:29.780000,0.16333,1.000977,-0.12915,6.904602,11.108397,-4.714966,1.0224046977244383
0 days 00:01:29.790000,0.161865,1.006348,-0.133057,6.813049,10.688781,-4.837036,1.0279303189312008
0 days 00:01:29.800000,0.162598,1.012451,-0.132813,6.67572,10.498046,-4.79126,1.0339895695673142
0 days 00:01:29.810000,0.165283,1.014404,-0.13501,6.286621,10.620116,-4.684448,1.036610652754929
0 days 00:01:29.820000,0.161621,1.015625,-0.137207,5.966186,10.833739,-4.547119,1.0375168669062687
0 days 00:01:29.830000,0.163574,1.013428,-0.137207,5.775451,11.268615,-4.463196,1.0356729819344521
0 days 00:01:29.840000,0.164063,1.009521,-0.138184,5.638122,11.764525,-4.432678,1.0320582034294383
0 days 00:01:29.850000,0.162354,1.006104,-0.139648,5.455017,12.382506,-4.364014,1.0286426221171279
0 days 00:01:29.860000,0.16333,1.006836,-0.138184,5.325317,12.985229,-4.379272,1.0293154218469673
0 days 00:01:29.870000,0.161377,0.99707,-0.126221,7.286071,12.100219,-3.784179,1.0179012043759452
0 days 00:01:29.880000,0.17334,0.991699,-0.129639,1.403808,5.195617,-1.556396,1.015046763711899
0 days 00:01:29.890000,0.17334,0.99292,-0.128174,1.541138,5.53894,-1.319885,1.016053864849694
0 days 00:01:29.900000,0.170166,0.993896,-0.12793,1.64032,5.737304,-1.25885,1.0164407564004898
0 days 00:01:29.910000,0.171143,0.994873,-0.12915,1.76239,6.118774,-1.457214,1.0177140733418202
0 days 00:01:29.920000,0.181641,1.0,-0.129883,1.678467,8.392334,-1.770019,1.0246282479855804
0 days 00:01:29.930000,0.173584,0.996582,-0.129639,1.777649,6.805419,-1.76239,1.0198594795857907
0 days 00:01:29.940000,0.175537,0.997559,-0.128662,1.831055,7.270813,-1.838684,1.0210245379490153
0 days 00:01:29.950000,0.179932,1.0,-0.12915,1.747131,7.781982,-1.838684,1.0242339806528584
0 days 00:01:29.960000,0.171875,0.99585,-0.129395,1.747131,6.42395,-1.556396,1.018823490183653
0 days 00:01:29.970000,0.174072,0.993896,-0.131104,1.197815,5.012512,-1.663208,1.0175060583682045
0 days 00:01:29.980000,0.141602,1.006348,-0.109863,-0.404358,-3.425598,-0.610352,1.0221826168924024
0 days 00:01:29.990000,0.177734,1.005371,-0.124268,0.946045,4.905701,-1.991272,1.0284953856099697
0 days 00:01:30,0.175537,1.008057,-0.124023,0.831604,4.859924,-1.991272,1.0307152168019058
0 days 00:01:30.010000,0.173828,1.009521,-0.122559,0.839233,4.66156,-2.037048,1.031682863822987
0 days 00:01:30.020000,0.170166,1.010742,-0.121094,0.701904,4.28772,-2.082825,1.0320947703365229
0 days 00:01:30.030000,0.165771,1.009277,-0.121582,0.602722,3.684997,-2.037048,1.030001101889702
0 days 00:01:30.040000,0.160645,1.009521,-0.121826,0.427246,2.89154,-1.876831,1.029456672105242
0 days 00:01:30.050000,0.157227,1.006348,-0.118652,0.160217,1.792908,-1.647949,1.0254437691736198
0 days 00:01:30.060000,0.1521,1.007568,-0.115234,-0.099182,0.434875,-1.541138,1.0254786976724577
0 days 00:01:30.070000,0.150391,1.009521,-0.113525,-0.167847,-1.022339,-1.319885,1.0269557088535999
0 days 00:01:30.080000,0.146973,1.006104,-0.111084,-0.411987,-2.204895,-0.999451,1.0228323306392892
0 days 00:01:30.090000,0.183105,0.997559,-0.12915,1.785278,9.040833,-1.525879,1.0224143592526467
0 days 00:01:30.100000,0.17749,0.999023,-0.126221,1.106262,4.974365,-1.815796,1.022487846123366
0 days 00:01:30.110000,0.182373,0.996338,-0.128906,1.800537,9.765625,-1.289368,1.0210612509585308
0 days 00:01:30.120000,0.195313,0.987061,-0.152344,1.358032,8.277893,-0.923157,1.017666585884591
0 days 00:01:30.130000,0.189697,0.995117,-0.13208,1.945495,11.070251,-0.778198,1.021610455064943
0 days 00:01:30.140000,0.137207,1.004639,-0.111572,-0.37384,-4.760742,-0.358582,1.0200850907419439
0 days 00:01:30.150000,0.192383,0.988281,-0.140869,-0.137329,-0.976562,-0.404358,1.016638888106785
0 days 00:01:30.160000,0.192627,0.989746,-0.140625,0.045776,-0.579834,-0.411987,1.0180754865283812
0 days 00:01:30.170000,0.196533,0.988037,-0.143066,0.259399,-0.228882,-0.434875,1.0175019478182832
0 days 00:01:30.180000,0.196533,0.989258,-0.14209,0.167847,0.1297,-0.411987,1.0185510192194596
0 days 00:01:30.190000,0.199219,0.989746,-0.141846,0.282288,0.724792,-0.473022,1.019512453181912
0 days 00:01:30.200000,0.203125,0.989746,-0.144287,0.38147,1.350403,-0.534058,1.0206251263367956
0 days 00:01:30.210000,0.204834,0.98999,-0.14502,0.511169,2.296448,-0.656128,1.021306990114138
0 days 00:01:30.220000,0.204346,0.990234,-0.147705,0.679016,3.425598,-0.801086,1.021830430892034
0 days 00:01:30.230000,0.205566,0.98877,-0.147461,0.770569,4.325867,-0.968933,1.0206214968228917
0 days 00:01:30.240000,0.184082,0.99707,-0.12915,1.861572,10.391234,-0.976562,1.0221127580281932
0 days 00:01:30.250000,0.206055,0.986572,-0.148682,0.892639,5.241394,-1.075745,1.0187685268661375
0 days 00:01:30.260000,0.198975,0.989502,-0.151855,1.304626,7.225036,-1.098633,1.0206689961265603
0 days 00:01:30.270000,0.196777,0.985596,-0.151611,1.556396,9.277344,-0.679016,1.0164184956335653
0 days 00:01:30.280000,0.194824,0.986084,-0.148926,1.785278,10.154723,-0.442505,1.0161185951984146
0 days 00:01:30.290000,0.195801,0.987305,-0.146973,1.785278,10.94818,-0.183105,1.0172070867601148
0 days 00:01:30.300000,0.196533,0.987549,-0.145508,1.945495,11.688231,0.152588,1.017374476559148
0 days 00:01:30.310000,0.19458,0.989258,-0.143799,1.937866,12.153625,0.297546,1.018415887231243
0 days 00:01:30.320000,0.19165,0.989746,-0.140625,1.945495,12.344359,0.228882,1.0178910833881
0 days 00:01:30.330000,0.190674,0.990479,-0.138184,1.930237,12.390136,0.114441,1.0180864607551756
0 days 00:01:30.340000,0.190674,0.991699,-0.136963,1.88446,12.100219,-0.045776,1.0191086027730312
0 days 00:01:30.350000,0.190674,0.993896,-0.134521,1.930237,11.634826,-0.312805,1.020922001199406
0 days 00:01:30.360000,0.202637,0.98877,-0.150635,1.144409,6.187438,-1.182556,1.0204992748130692
0 days 00:01:30.370000,0.137451,1.003418,-0.11084,-0.38147,-6.04248,-0.038147,1.0188355930791777
0 days 00:01:30.380000,0.191162,0.992188,-0.140381,-0.1297,-1.319885,-0.38147,1.0201405602901004
0 days 00:01:30.390000,0.134033,1.003174,-0.111328,-0.549316,-9.216309,0.610352,1.0181929301213009
0 days 00:01:30.400000,0.19458,0.996582,-0.180908,-0.617981,-0.724792,7.522583,1.0313897243951968
0 days 00:01:30.410000,0.197998,0.999512,-0.175537,-0.869751,0.328064,8.209229,1.0339442366573741
