ax,ay,az,gx,gy,gz,acc_mag
-1.277832,1.007324,-0.178223,88.035576,-66.246033,-211.868271,1.6368627611773077
-1.282959,0.955078,-0.170166,86.34948,-49.804684,-222.557053,1.6084508849576353
-1.257568,0.924805,-0.160156,82.794182,-37.574768,-231.849655,1.5692009135177687
-1.242432,0.913818,-0.163574,79.277039,-33.13446,-241.157516,1.5509535986688965
-1.268799,0.914063,-0.193848,78.613281,-35.484314,-249.671921,1.5757344692155464
-1.321533,0.857422,-0.202637,81.93969,-37.54425,-249.992355,1.5882958508860998
-1.332275,0.762939,-0.19458,81.924431,-29.479979,-249.885544,1.5475444968549372
-1.285889,0.681152,-0.193604,78.75824,-10.902404,-249.977097,1.4679785680455284
-1.212891,0.608643,-0.171631,76.004028,8.773804,-249.992355,1.3678479738227491
-1.168457,0.553467,-0.144531,73.722839,26.084898,-249.992355,1.3009637546446098
-1.148193,0.484375,-0.116943,71.327209,41.336056,-249.992355,1.2516556919229025
-1.134033,0.42334,-0.096924,68.946838,52.925106,-249.992355,1.214348328308233
-1.081543,0.381836,-0.089355,66.246033,60.18829,-249.992355,1.1504426573150006
-1.046631,0.333984,-0.094971,64.346313,62.789913,-249.992355,1.1027244684226427
-1.009766,0.286377,-0.087891,62.126156,61.264034,-249.992355,1.0532634944618557
-1.013428,0.24292,-0.081543,60.455318,58.471676,-249.992355,1.0453208590825116
-0.985352,0.213135,-0.069824,58.891293,56.968685,-249.992355,1.010554542370178
-0.93457,0.180664,-0.062988,58.479305,60.302731,-249.992355,0.953953905563576
-0.936279,0.148193,-0.056152,58.853146,63.674923,-249.992355,0.9495960078865117
-0.886963,0.128418,-0.053467,59.333797,68.000793,-249.992355,0.8978046926709616
-0.796143,0.082031,-0.057129,59.959408,72.19696,-249.992355,0.8023942198514393
-0.727539,0.028564,-0.063965,60.020443,72.898865,-249.923691,0.7309038376161395
-0.774902,0.009033,-0.112305,61.767574,69.778442,-246.238693,0.783049882011357
-0.8396,0.001465,-0.151611,64.659119,66.566467,-240.844711,0.8531800522433703
-0.838623,-0.02002,-0.161621,67.817688,67.230225,-238.105759,0.8542895786382976
-0.777832,-0.057617,-0.15625,71.235657,70.243835,-232.612595,0.7954598678833521
-0.714355,-0.118652,-0.126709,74.272156,71.708679,-223.709091,0.7351438864671324
-0.679199,-0.184082,-0.080322,75.912476,69.641113,-213.577255,0.7082719025974418
-0.687988,-0.240723,-0.041748,76.255798,64.735413,-203.536972,0.7300807807201886
-0.720947,-0.285645,-0.025391,74.97406,57.670589,-193.344101,0.775888101284586
-0.721924,-0.30835,-0.024658,72.692871,48.866268,-184.226974,0.7854056284748665
-0.708984,-0.320313,-0.027344,70.327759,38.299561,-176.238998,0.7784641446855467
-0.733398,-0.341064,-0.008301,66.642761,27.44293,-168.312057,0.8088672234062894
-0.731934,-0.361084,0.039307,60.974117,19.40918,-163.215622,0.817101019250986
-0.690186,-0.411865,0.104736,53.863522,15.380858,-158.309937,0.8105301490487569
-0.662842,-0.469482,0.179199,44.334408,12.268065,-151.023865,0.8317963373861417
-0.664795,-0.502441,0.236572,35.797119,8.18634,-144.302368,0.866236492933656
-0.688477,-0.51416,0.272461,26.908873,2.960205,-138.748169,0.9014411138005631
-0.706787,-0.504395,0.304443,17.379761,-1.716614,-134.300232,0.9201346203914947
-0.714844,-0.515869,0.332764,8.728027,-6.851196,-129.966736,0.9422603935181613
-0.725098,-0.556152,0.398926,-3.189087,-13.648986,-127.143852,0.9971028583772088
-0.732422,-0.600586,0.504395,-18.630981,-22.018431,-127.159111,1.0731075647412984
-0.728516,-0.625977,0.584961,-33.332825,-30.998228,-126.586906,1.1246164405280583
-0.736328,-0.632568,0.622559,-48.858639,-40.588375,-124.435417,1.1532132962678674
-0.767334,-0.632324,0.660889,-65.612793,-48.866268,-122.840874,1.1939050962505353
-0.800293,-0.661377,0.735107,-85.243217,-52.459713,-121.337883,1.2721127007568944
-0.80127,-0.691162,0.831787,-108.688347,-54.328915,-119.812004,1.3459599312434973
-0.817383,-0.720459,0.942383,-135.498047,-61.210629,-119.422905,1.4405769184805788
-0.787109,-0.725342,0.969971,-165.962204,-79.498291,-122.154228,1.4444740688866657
-0.76123,-0.697754,0.989258,-198.425278,-112.495415,-126.113884,1.43002207954283
-0.822266,-0.615479,0.958984,-234.588608,-151.290894,-127.67028,1.4051996607076873
-0.857422,-0.407471,0.789307,-249.992355,-176.773056,-128.181458,1.2345892605129853
